-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,50.0,30.97,33.33,0.0,0.0,50.2,23.53,41.12
30-34,20.0,36.84,33.33,0.0,100.0,52.76,47.06,46.44
35-39,0.0,41.38,25.0,0.0,0.0,59.9,41.18,51.36
40-44,0.0,52.86,50.0,0.0,50.0,63.87,20.0,57.95
45-49,0.0,57.69,33.33,0.0,0.0,67.1,18.18,62.97
50-54,50.0,63.86,0.0,0.0,0.0,67.28,47.37,65.12
55-59,50.0,66.13,0.0,0.0,0.0,71.11,60.0,68.9
60-64,0.0,71.01,0.0,100.0,0.0,78.4,64.29,75.21
65-OVER,0.0,68.58,100.0,100.0,83.33,76.81,36.36,73.64
TOTAL,38.89,57.65,36.0,80.0,53.85,68.82,37.78,63.89
