-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,27.0,34.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,4.0,2.0,0.0,351.0,324.0,0.0,162.0,99.0,1028.0
30-34,0.0,19.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,4.0,2.0,0.0,391.0,314.0,0.0,112.0,87.0,960.0
35-39,0.0,28.0,36.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,0.0,2.0,1.0,0.0,344.0,357.0,0.0,113.0,101.0,998.0
40-44,0.0,17.0,20.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,5.0,1.0,0.0,390.0,323.0,0.0,117.0,88.0,975.0
45-49,0.0,18.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,3.0,0.0,491.0,439.0,0.0,129.0,89.0,1196.0
50-54,0.0,16.0,27.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,3.0,1.0,0.0,449.0,467.0,0.0,142.0,127.0,1244.0
55-59,0.0,16.0,20.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,6.0,3.0,0.0,486.0,454.0,1.0,148.0,127.0,1274.0
60-64,0.0,21.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,513.0,407.0,0.0,147.0,106.0,1232.0
65-OVER,0.0,48.0,41.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,4.0,0.0,1400.0,1291.0,1.0,343.0,174.0,3316.0
TOTAL,0.0,210.0,238.0,0.0,20.0,10.0,0.0,2.0,2.0,0.0,54.0,35.0,0.0,30.0,18.0,0.0,4815.0,4376.0,2.0,1413.0,998.0,12223.0
