-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,39.02,37.94,27.04,14.29,39.83,40.18,21.39,36.42
30-34,34.62,47.1,40.0,57.14,42.03,47.09,26.59,45.07
35-39,33.33,56.84,45.32,25.0,41.82,54.43,33.52,53.36
40-44,56.41,61.9,39.68,66.67,42.31,60.07,37.82,58.78
45-49,51.06,66.5,51.28,42.86,48.89,66.03,37.29,64.04
50-54,40.74,69.7,50.5,83.33,55.56,69.35,35.71,66.86
55-59,55.56,70.72,65.28,87.5,68.42,70.78,43.36,68.87
60-64,79.31,75.32,60.29,57.14,65.38,72.66,40.29,71.41
65-OVER,66.67,73.39,44.0,50.0,57.14,74.81,47.38,72.44
TOTAL,51.15,62.28,44.59,53.73,48.21,64.74,35.14,60.95
