-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,52.0,59.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,8.0,4.0,0.0,0.0,3.0,0.0,495.0,444.0,0.0,60.0,57.0,1193.0
30-34,0.0,34.0,38.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,422.0,418.0,0.0,59.0,43.0,1034.0
35-39,0.0,35.0,27.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,6.0,2.0,0.0,429.0,385.0,0.0,44.0,23.0,963.0
40-44,0.0,36.0,37.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,3.0,1.0,453.0,377.0,0.0,40.0,29.0,992.0
45-49,1.0,33.0,35.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,0.0,531.0,476.0,0.0,54.0,42.0,1191.0
50-54,0.0,33.0,45.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,5.0,4.0,0.0,554.0,510.0,0.0,43.0,42.0,1245.0
55-59,0.0,37.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,5.0,2.0,0.0,570.0,574.0,0.0,45.0,29.0,1307.0
60-64,1.0,17.0,24.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,4.0,5.0,0.0,568.0,519.0,0.0,49.0,36.0,1233.0
65-OVER,1.0,47.0,56.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,3.0,6.0,0.0,1654.0,1422.0,0.0,105.0,67.0,3382.0
TOTAL,3.0,324.0,359.0,0.0,26.0,15.0,0.0,1.0,7.0,1.0,40.0,37.0,0.0,29.0,29.0,1.0,5676.0,5125.0,0.0,499.0,368.0,12540.0
