,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,1B,20.0,57.04,53.85,57.14,28.57,58.19,34.35,55.29
1,1C,50.0,51.85,71.43,66.67,61.54,58.8,37.91,55.97
2,1D,10.0,53.16,54.29,100.0,40.0,61.85,31.36,57.62
3,2A,47.06,68.31,58.82,40.0,60.0,66.99,41.88,63.78
4,2B,55.17,47.66,40.0,0.0,33.33,57.84,33.76,53.11
5,2C,58.82,63.52,37.8,25.0,45.83,60.89,45.38,58.35
6,3A,100.0,49.2,50.0,33.33,16.67,64.73,29.23,58.47
7,3B,33.33,55.73,71.43,25.0,60.0,67.34,42.37,61.66
8,3C,50.0,45.12,33.33,50.0,28.57,61.92,36.1,56.07
9,3D,41.67,62.31,47.06,12.5,25.0,59.95,36.51,57.32
10,4A,40.0,56.19,34.15,50.0,46.15,59.95,31.77,55.79
11,4B,62.5,57.71,45.45,0.0,66.67,57.02,34.54,54.56
12,4C,44.44,55.32,37.5,25.0,19.05,54.85,33.78,51.37
13,5A,44.44,54.51,37.74,20.0,52.63,59.77,33.33,55.41
14,5B,23.68,53.99,33.33,27.27,38.46,56.13,32.74,51.48
15,5C,53.33,59.65,52.0,0.0,46.15,62.82,42.72,59.39
16,99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,TOTAL,44.3,56.03,42.79,32.86,41.52,60.04,36.21,56.18
