-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,17.24,25.55,16.46,28.57,17.44,30.23,13.04,25.16
30-34,23.33,36.12,28.26,0.0,13.89,38.48,20.87,35.19
35-39,29.63,43.56,26.92,7.69,34.29,46.29,25.29,42.51
40-44,18.75,51.94,22.86,0.0,42.86,51.39,24.07,49.68
45-49,23.08,53.75,22.22,0.0,48.39,56.35,29.6,52.39
50-54,40.74,59.86,44.44,16.67,57.14,60.89,24.21,57.49
55-59,50.0,62.9,46.43,33.33,33.33,63.62,29.49,60.52
60-64,44.44,67.36,60.71,66.67,62.5,67.37,28.37,64.96
65-OVER,32.43,68.04,47.62,25.0,60.61,69.26,32.47,66.63
TOTAL,31.43,51.34,31.87,18.18,34.65,59.4,25.16,51.68
