-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,42.0,38.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,178.0,155.0,0.0,196.0,146.0,764.0
30-34,0.0,18.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,188.0,171.0,0.0,206.0,144.0,762.0
35-39,0.0,18.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,196.0,180.0,0.0,121.0,103.0,649.0
40-44,0.0,19.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,189.0,183.0,0.0,153.0,107.0,690.0
45-49,0.0,11.0,22.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,196.0,187.0,0.0,136.0,99.0,660.0
50-54,0.0,20.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,224.0,192.0,0.0,173.0,144.0,795.0
55-59,0.0,28.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,258.0,223.0,0.0,180.0,146.0,859.0
60-64,0.0,19.0,13.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,237.0,218.0,0.0,190.0,152.0,838.0
65-OVER,0.0,41.0,37.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,762.0,663.0,0.0,417.0,306.0,2241.0
TOTAL,0.0,216.0,250.0,0.0,9.0,11.0,0.0,5.0,1.0,0.0,14.0,7.0,0.0,15.0,9.0,2.0,2428.0,2172.0,0.0,1772.0,1347.0,8258.0
