-,MALE,FEMALE,UNKNOWN
UNKNOWN,18.75,40.0,0.0
OTHER,16.67,25.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,28.57,41.67,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,35.02,38.32,0.0
BLACK,24.42,44.28,0.0
