AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,32.3,34.16,33.64,45.45,39.38,40.0,27.49,37.39
30-34,40.78,49.89,39.44,48.0,51.55,50.39,37.72,48.29
35-39,43.95,56.32,46.32,31.58,51.96,56.29,42.41,54.1
40-44,44.55,66.64,47.98,27.78,56.65,62.53,46.9,60.45
45-49,57.68,68.35,55.31,73.68,56.89,66.25,49.75,64.39
50-54,54.19,67.84,60.2,43.75,64.29,69.72,49.75,67.45
55-59,53.64,71.19,61.89,72.73,69.6,72.28,51.79,70.18
60-64,51.54,73.07,52.99,20.0,64.29,74.62,57.31,72.58
65-OVER,56.12,72.39,57.91,66.67,66.51,75.07,58.76,73.19
TOTAL,48.85,61.87,49.45,49.36,57.02,65.56,46.8,62.83
