,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,MONTICELLO,55.56,60.37,41.67,100.0,72.73,68.85,34.78,65.21
1,MARTIN & BURNEY,54.55,48.54,45.71,100.0,66.67,61.75,29.66,59.92
2,88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TOTAL,55.0,59.53,43.66,100.0,69.57,64.95,31.31,62.78
