-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,0.0,7.14,0.0,60.0,35.17,17.81,33.37
30-34,100.0,50.0,33.33,0.0,75.0,38.42,35.14,38.41
35-39,28.57,0.0,57.14,100.0,40.0,47.45,28.81,46.21
40-44,40.0,100.0,0.0,0.0,50.0,56.79,30.51,55.05
45-49,100.0,66.67,57.14,0.0,0.0,59.85,42.03,58.81
50-54,66.67,33.33,88.24,25.0,42.86,62.43,51.28,61.83
55-59,20.0,100.0,75.0,33.33,100.0,67.28,60.0,66.74
60-64,71.43,0.0,80.0,66.67,100.0,73.69,61.9,73.02
65-OVER,90.0,66.67,58.33,85.71,53.85,71.09,68.01,70.94
TOTAL,59.09,36.0,53.26,48.15,60.71,63.24,51.44,62.47
