PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
FOUR POINTS,1.0,29.0,18.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,4.0,3.0,0.0,393.0,410.0,0.0,195.0,123.0,1198.0
GIRARD,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,90.0,101.0,0.0,131.0,81.0,417.0
GOUGH,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,60.0,0.0,91.0,50.0,260.0
GREENSCUT,0.0,10.0,12.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,176.0,179.0,0.0,118.0,70.0,577.0
KEYSVILLE,0.0,9.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,36.0,40.0,0.0,66.0,45.0,208.0
MIDVILLE,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,60.0,0.0,85.0,59.0,263.0
MUNNERLYN,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,48.0,55.0,0.0,38.0,22.0,175.0
SARDIS,0.0,5.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,145.0,0.0,107.0,76.0,531.0
SCOTTS CROSSROADS,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,0.0,69.0,45.0,176.0
TELFAIR,0.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,146.0,145.0,0.0,128.0,90.0,536.0
ST. CLAIR,0.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,67.0,62.0,0.0,67.0,51.0,263.0
VIDETTE,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,52.0,0.0,52.0,32.0,190.0
NORTH WAYNESBORO,0.0,29.0,24.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,199.0,203.0,0.0,704.0,359.0,1527.0
SOUTH WAYNESBORO,0.0,26.0,29.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,7.0,4.0,0.0,2.0,1.0,0.0,583.0,541.0,2.0,447.0,228.0,1878.0
BLAKENEY,0.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,61.0,0.0,118.0,44.0,303.0
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,1.0,153.0,130.0,0.0,20.0,18.0,0.0,1.0,7.0,0.0,24.0,18.0,0.0,11.0,10.0,1.0,2177.0,2138.0,2.0,2416.0,1375.0,8502.0
