,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,SENIOR CENTER,43.62,43.73,38.02,50.0,32.98,57.0,27.56,53.35
1,TOTAL,43.62,43.73,38.02,50.0,32.98,57.0,27.56,53.35
