-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,21.0,37.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,211.0,202.0,0.0,82.0,65.0,637.0
30-34,0.0,15.0,28.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,245.0,202.0,1.0,56.0,54.0,618.0
35-39,0.0,11.0,18.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,212.0,193.0,0.0,55.0,55.0,554.0
40-44,1.0,19.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,232.0,171.0,0.0,51.0,42.0,540.0
45-49,0.0,14.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,246.0,249.0,0.0,68.0,49.0,658.0
50-54,0.0,15.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,293.0,277.0,0.0,81.0,67.0,766.0
55-59,0.0,21.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,364.0,316.0,0.0,104.0,86.0,916.0
60-64,0.0,16.0,26.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,271.0,275.0,0.0,104.0,64.0,763.0
65-OVER,1.0,29.0,24.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,725.0,664.0,0.0,238.0,166.0,1862.0
TOTAL,2.0,161.0,216.0,0.0,17.0,14.0,0.0,2.0,7.0,0.0,22.0,17.0,0.0,11.0,9.0,0.0,2799.0,2549.0,1.0,839.0,648.0,7314.0
