-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,27.19,37.12,30.3,33.33,36.31,41.9,24.11,37.48
30-34,34.68,43.52,33.05,33.33,33.0,48.55,30.65,44.06
35-39,34.04,52.18,37.78,30.0,44.19,56.77,38.51,52.5
40-44,41.53,56.64,42.86,0.0,51.35,60.72,36.38,56.43
45-49,47.96,60.25,56.52,38.46,43.66,65.76,37.74,60.9
50-54,46.24,65.28,58.11,35.71,60.0,69.89,31.37,64.85
55-59,54.76,67.41,55.32,63.64,44.83,74.25,35.04,68.2
60-64,49.41,72.81,48.08,66.67,60.87,76.78,36.22,72.32
65-OVER,43.4,72.92,48.48,40.0,53.49,75.83,37.22,72.72
TOTAL,41.49,58.58,42.35,38.74,44.79,66.61,33.69,60.14
