-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,20.84,50.0,0.0,50.0,40.56,29.63,28.17
30-34,33.33,38.17,0.0,0.0,50.0,48.21,23.81,41.36
35-39,0.0,45.37,0.0,0.0,100.0,59.9,35.71,50.66
40-44,100.0,48.25,0.0,100.0,50.0,69.65,36.36,57.75
45-49,0.0,52.48,33.33,0.0,0.0,70.69,50.0,60.82
50-54,0.0,53.44,0.0,0.0,0.0,66.23,37.5,59.32
55-59,33.33,61.9,0.0,0.0,0.0,72.67,25.0,66.22
60-64,0.0,66.56,66.67,0.0,100.0,78.29,35.71,71.78
65-OVER,0.0,64.15,0.0,0.0,0.0,73.75,59.26,69.91
TOTAL,18.75,50.45,25.0,50.0,45.45,67.77,37.67,58.54
