,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,SHILOH,50.0,47.25,21.84,0.0,31.25,47.57,14.79,40.0
1,COLLINS,50.0,56.43,27.59,50.0,42.86,67.0,21.64,59.89
2,MANASSAS,0.0,74.19,0.0,0.0,0.0,73.89,27.27,68.29
3,DISTRICT II,88.89,53.37,29.09,25.0,40.0,63.21,19.92,55.11
4,EAST GLENNVILLE,28.57,47.42,35.59,0.0,33.33,66.85,25.0,59.42
5,DISTRICT IV,83.33,49.4,29.63,100.0,50.0,70.64,24.41,59.82
6,DISTRICT V,50.0,47.12,13.33,0.0,0.0,63.83,21.05,56.86
7,TOTAL,55.56,51.46,27.15,50.0,37.31,65.1,21.47,56.69
