PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
BENTONS,75.28,75.31,100.0,75.32
BRANTLEYS,75.41,77.02,0.00,76.17
BURGAYS,75.81,77.20,100.0,76.53
CABANISS,60.27,68.70,50.00,64.39
COX,71.52,72.81,0.00,72.16
CULLODEN,67.92,69.64,100.0,68.88
DILLARDS,64.25,64.78,50.00,64.50
EVERS,64.64,68.14,57.14,66.47
FORSYTH,54.74,63.67,42.86,59.75
HIGH FALLS,55.82,56.67,0.00,56.19
KELSEYS,67.69,70.38,0.00,69.07
MIDDLEBROOKS,67.78,69.09,25.00,68.33
PROCTORS,53.60,59.65,100.0,56.73
RUSSELLVILLE,65.00,69.64,0.00,67.34
88888,0.00,0.00,0.00,0.00
TOTAL,64.69,68.05,48.65,66.42
