-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,3.0,488.0,538.0,0.0,39.0,39.0,0.0,5.0,5.0,0.0,139.0,134.0,0.0,16.0,21.0,4.0,2366.0,2130.0,0.0,396.0,333.0,6656.0
30-34,3.0,346.0,347.0,0.0,27.0,29.0,0.0,5.0,5.0,0.0,95.0,80.0,0.0,18.0,22.0,1.0,2241.0,1994.0,0.0,377.0,292.0,5882.0
35-39,0.0,330.0,361.0,1.0,24.0,19.0,0.0,7.0,4.0,0.0,98.0,68.0,0.0,22.0,15.0,2.0,2133.0,1936.0,0.0,371.0,265.0,5656.0
40-44,3.0,288.0,296.0,0.0,26.0,17.0,0.0,3.0,3.0,0.0,87.0,55.0,0.0,19.0,16.0,2.0,2154.0,1905.0,0.0,365.0,249.0,5488.0
45-49,1.0,280.0,332.0,0.0,11.0,20.0,0.0,3.0,7.0,0.0,66.0,73.0,0.0,19.0,17.0,5.0,2510.0,2374.0,0.0,366.0,283.0,6367.0
50-54,0.0,301.0,335.0,0.0,19.0,21.0,0.0,5.0,3.0,0.0,55.0,51.0,0.0,19.0,18.0,2.0,2589.0,2408.0,1.0,375.0,283.0,6485.0
55-59,1.0,260.0,308.0,0.0,15.0,11.0,0.0,1.0,4.0,0.0,44.0,65.0,0.0,17.0,11.0,2.0,2621.0,2452.0,0.0,327.0,256.0,6395.0
60-64,0.0,206.0,244.0,0.0,17.0,17.0,0.0,6.0,3.0,0.0,30.0,33.0,0.0,21.0,9.0,3.0,2382.0,2198.0,1.0,235.0,184.0,5589.0
65-OVER,6.0,485.0,432.0,0.0,9.0,10.0,0.0,3.0,4.0,0.0,45.0,62.0,1.0,22.0,28.0,3.0,5633.0,4938.0,0.0,506.0,313.0,12500.0
TOTAL,17.0,2984.0,3193.0,1.0,187.0,183.0,0.0,38.0,38.0,0.0,659.0,621.0,1.0,173.0,157.0,24.0,24629.0,22335.0,2.0,3318.0,2458.0,61018.0
