-,MALE,FEMALE,UNKNOWN
UNKNOWN,12.5,0.0,0.0
OTHER,50.0,0.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,0.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,41.25,35.78,0.0
BLACK,10.53,37.88,0.0
