-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,25.16,36.34,26.69,37.5,35.22,36.9,24.2,34.72
30-34,33.04,48.11,30.08,73.33,41.04,46.14,30.44,44.62
35-39,33.75,56.51,37.84,30.0,45.22,52.23,34.69,51.43
40-44,41.06,62.3,42.93,18.18,44.94,59.75,41.49,58.28
45-49,49.13,66.8,47.5,55.56,46.75,63.47,48.73,62.56
50-54,58.85,70.8,58.54,66.67,62.34,68.62,44.66,67.16
55-59,52.54,74.36,60.0,55.56,63.41,72.2,49.09,70.87
60-64,56.55,77.22,52.63,20.0,58.21,76.01,51.34,74.1
65-OVER,47.79,76.96,53.74,60.0,63.89,75.67,49.25,74.04
TOTAL,44.27,62.46,43.41,48.08,49.23,63.8,39.43,60.74
