-,MALE,FEMALE,UNKNOWN
UNKNOWN,19.95,30.13,0.0
OTHER,28.07,45.45,0.0
NATIVE-AM,42.86,25.0,0.0
HISP-LT,25.25,41.86,0.0
ASIA-PI,25.0,36.73,0.0
WHITE,32.52,34.36,50.0
BLACK,30.84,45.3,25.0
