,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,BALDWIN,33.33,33.33,37.5,0.0,75.0,68.05,48.28,64.71
1,BERLIN,28.57,66.67,33.33,0.0,50.0,65.68,50.0,63.37
2,BUSHVILLE,22.22,22.73,35.0,0.0,28.57,62.23,19.67,55.75
3,COLUMBIA,100.0,50.0,33.33,0.0,0.0,74.92,33.33,72.62
4,DAVIDS,21.88,47.5,21.74,0.0,70.0,60.9,32.94,56.13
5,GOLDEN HILL,0.0,25.0,26.32,100.0,37.5,60.61,14.93,55.11
6,GROVE RIVER,0.0,100.0,45.45,0.0,0.0,65.31,34.78,62.05
7,HOLLINGSWORTH,62.5,28.57,0.0,0.0,0.0,68.39,29.79,64.43
8,HOMER,25.0,57.14,53.33,0.0,42.86,61.37,39.25,59.2
9,POPLAR SPRINGS,36.36,44.0,37.5,0.0,100.0,64.79,35.97,61.47
10,WASHINGTON,0.0,33.33,33.33,0.0,33.33,67.18,23.81,62.99
11,WILMONTS,0.0,33.33,68.75,0.0,66.67,68.56,35.0,65.42
12,88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,TOTAL,28.74,43.35,36.52,8.33,52.0,64.43,32.92,60.51
