,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,SASSER,100.0,54.16,42.86,0.0,70.0,72.2,38.3,63.88
1,BRONWOOD,0.0,55.91,50.0,0.0,66.67,74.29,26.53,62.27
2,PARROTT,0.0,69.78,100.0,0.0,0.0,76.86,42.11,72.64
3,GRAVES,0.0,53.21,0.0,0.0,0.0,69.81,41.67,62.17
4,HEROD-DOVER,0.0,49.26,50.0,100.0,0.0,80.92,46.67,63.54
5,TOTAL,20.0,55.69,47.37,33.33,60.0,73.36,36.82,64.15
