PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1,30.77,55.59,9.090,0.00,20.00,66.62,27.08,59.65
2,66.67,58.87,20.00,0.00,20.00,66.38,45.90,60.34
3,28.57,64.01,7.140,0.00,42.86,66.81,25.00,62.57
4,28.57,59.78,8.330,0.00,66.67,69.31,32.26,60.66
5,62.50,60.04,20.00,0.00,100.0,73.61,33.33,61.31
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,37.10,59.45,12.07,0.00,36.36,67.65,33.21,60.57
