-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,20.0,32.04,34.42,25.0,37.84,38.14,22.03,34.09
30-34,26.67,37.77,34.5,46.15,43.02,45.73,30.89,41.5
35-39,28.43,44.5,40.46,35.71,48.48,52.97,34.92,48.26
40-44,33.33,52.32,44.86,57.14,39.08,59.4,37.23,54.43
45-49,40.0,56.94,44.44,57.14,51.52,64.53,38.33,59.28
50-54,34.15,58.59,45.15,50.0,61.73,67.63,41.1,62.11
55-59,43.64,64.57,48.47,61.54,55.13,70.6,40.05,65.37
60-64,47.13,68.12,40.99,75.0,67.86,74.6,40.98,69.38
65-OVER,45.15,70.38,42.8,75.0,64.77,75.02,52.32,71.75
TOTAL,35.97,53.97,40.17,52.43,50.36,64.55,38.14,58.74
