,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,HABERSHAM SOUTH,54.67,56.15,28.57,55.41
1,DEMOREST,58.06,59.36,0.0,58.69
2,TOWN OF MOUNT AIRY,51.69,54.31,0.0,52.97
3,CITY OF BALDWIN,39.69,40.3,0.0,39.98
4,MUD CREEK,57.21,57.05,100.0,57.14
5,AMYS CREEK,71.11,70.96,100.0,71.05
6,88888,0.0,0.0,0.0,0.0
7,99999,0.0,0.0,0.0,0.0
8,TOTAL,56.46,57.22,26.67,56.83
