-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,66.67,38.19,0.0,0.0,0.0,47.83,29.03,39.55
30-34,0.0,43.26,25.0,0.0,50.0,50.76,26.92,44.06
35-39,0.0,54.14,33.33,0.0,0.0,60.77,37.04,54.62
40-44,0.0,58.31,0.0,0.0,0.0,72.0,42.86,60.7
45-49,40.0,69.78,0.0,0.0,0.0,65.0,28.57,65.95
50-54,50.0,67.59,50.0,0.0,100.0,67.15,42.11,66.28
55-59,40.0,71.6,20.0,0.0,33.33,73.81,52.63,70.95
60-64,30.77,74.62,0.0,0.0,50.0,80.62,41.67,75.53
65-OVER,42.86,72.65,0.0,0.0,50.0,76.66,48.39,73.81
TOTAL,37.74,62.4,16.67,0.0,29.41,70.29,38.5,63.89
