-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,17.39,21.74,24.49,75.0,18.42,31.97,21.96,29.52
30-34,15.38,32.05,35.71,50.0,38.1,43.65,30.26,40.66
35-39,30.0,43.9,41.46,0.0,30.0,48.68,37.34,46.19
40-44,37.5,51.76,50.0,100.0,30.0,54.72,40.67,52.45
45-49,36.84,56.47,43.24,0.0,59.09,58.73,45.45,56.76
50-54,39.13,51.28,39.39,0.0,81.82,64.44,43.99,61.76
55-59,29.41,60.56,55.0,60.0,50.0,67.0,45.5,64.32
60-64,45.45,76.0,70.0,100.0,50.0,70.17,54.97,68.61
65-OVER,45.0,70.07,57.58,66.67,29.41,69.2,56.47,67.88
TOTAL,32.86,52.38,42.52,43.33,38.67,59.32,41.15,56.53
