-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,27.94,21.88,0.0,0.0,39.33,12.5,34.78
30-34,0.0,33.94,34.62,0.0,50.0,51.68,23.08,47.01
35-39,50.0,45.28,38.46,0.0,33.33,51.83,36.84,49.84
40-44,0.0,44.04,33.33,0.0,50.0,64.39,28.57,58.91
45-49,50.0,56.98,16.67,0.0,50.0,63.64,14.81,60.11
50-54,0.0,54.64,14.29,100.0,100.0,66.9,33.33,63.53
55-59,0.0,54.92,50.0,0.0,0.0,72.23,29.63,66.98
60-64,100.0,68.64,33.33,0.0,50.0,73.99,33.33,72.03
65-OVER,0.0,70.08,41.67,0.0,0.0,74.54,31.43,72.75
TOTAL,28.57,52.83,30.37,16.67,42.11,64.59,25.89,60.8
