-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,32.03,22.22,100.0,0.0,52.63,31.58,44.07
30-34,0.0,41.0,44.44,0.0,0.0,56.61,42.11,51.64
35-39,0.0,50.0,77.78,0.0,50.0,62.72,22.22,59.28
40-44,0.0,62.03,40.0,0.0,0.0,68.0,23.08,64.27
45-49,0.0,56.44,0.0,0.0,33.33,72.54,23.53,66.6
50-54,0.0,68.7,50.0,0.0,0.0,76.52,20.0,71.55
55-59,100.0,66.09,14.29,100.0,0.0,74.32,31.58,69.86
60-64,0.0,74.53,66.67,100.0,0.0,78.72,42.86,75.92
65-OVER,100.0,73.02,40.0,0.0,75.0,79.94,34.38,77.29
TOTAL,18.18,60.34,39.06,75.0,35.71,71.75,31.38,67.01
