-,MALE,FEMALE,UNKNOWN
UNKNOWN,26.92,23.81,0.0
OTHER,0.0,50.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,20.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,56.12,48.91,0.0
BLACK,29.51,51.55,0.0
