-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,20.0,22.01,31.25,0.0,25.0,43.79,25.35,36.94
30-34,0.0,39.38,47.37,0.0,50.0,55.78,44.9,51.03
35-39,40.0,33.73,29.41,100.0,0.0,60.71,30.19,52.43
40-44,0.0,46.63,30.77,0.0,33.33,65.87,16.67,57.97
45-49,0.0,50.0,37.5,0.0,60.0,66.62,18.42,60.65
50-54,55.56,62.96,40.0,0.0,100.0,70.42,23.61,64.95
55-59,50.0,70.1,42.86,0.0,50.0,75.67,29.69,71.16
60-64,66.67,76.33,57.14,100.0,0.0,75.83,37.78,73.99
65-OVER,60.0,69.19,33.33,0.0,66.67,78.45,28.57,74.83
TOTAL,36.59,54.2,37.04,50.0,38.89,69.03,28.01,63.37
