-,MALE,FEMALE,UNKNOWN
UNKNOWN,38.03,25.64,0.0
OTHER,0.0,42.86,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,20.0,33.33,0.0
ASIA-PI,50.0,50.0,0.0
WHITE,46.1,48.55,0.0
BLACK,30.23,52.94,0.0
