,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,WALNUT GROVE,66.67,35.71,0.0,0.0,33.33,57.7,37.25,55.01
1,ROCK SPRING,22.22,58.04,41.94,0.0,29.63,59.17,40.28,56.49
2,ARMUCHEE VALLEY,0.0,50.0,28.57,50.0,28.57,63.32,48.3,60.85
3,MOUNTAIN,0.0,0.0,0.0,66.67,33.33,59.98,53.18,58.73
4,CHATTANOOGA VALLEY,50.0,55.13,41.18,0.0,54.17,55.87,35.04,52.64
5,KENSINGTON,50.0,55.67,0.0,0.0,50.0,63.43,35.29,58.77
6,ROSSVILLE,37.5,28.42,38.0,75.0,40.0,45.4,26.32,41.38
7,CHICKAMAUGA,61.11,43.12,42.86,25.0,54.17,58.23,36.04,54.92
8,FAIRYLAND,0.0,50.0,66.67,50.0,75.0,57.31,43.2,55.12
9,FAIRVIEW,75.0,42.37,31.82,60.0,27.78,46.73,28.51,43.69
10,99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,TOTAL,46.15,44.29,39.55,51.85,41.45,55.28,35.07,51.95
