,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,VALLEY,65.37,73.55,0.0,69.63
1,JUNCTION CITY,55.67,64.6,0.0,60.37
2,GENEVA,57.98,70.37,0.0,64.24
3,TALBOTTON,55.78,62.19,0.0,59.45
4,BOX SPRINGS,55.13,59.46,0.0,57.4
5,FLINT HILL,64.93,70.28,0.0,67.95
6,TOTAL,59.91,67.03,0.0,63.78
