PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
BETHLEHEM COMMUNITY,53.19,56.66,42.86,54.93
BETHLEHEM CHURCH -,61.36,61.58,37.50,61.42
BRAMLETT ELEMENTARY,48.01,50.85,66.67,49.47
WESTSIDE MIDDLE,49.75,53.45,100.0,51.69
FIRE STATION 1,56.38,58.99,33.33,57.74
WINDER-BARROW HIGH,52.23,52.36,50.00,52.29
STATHAM ELEMENTARY,59.08,62.86,66.67,61.11
FIRST BAPTIST CHURCH,55.50,57.82,40.00,56.66
LIONS CLUB,58.73,60.20,0.00,59.50
LEISURE SERVICES,40.49,47.42,66.67,44.40
APALACHEE HIGH,51.61,55.65,80.00,53.77
MIDWAY UNITED,50.90,53.75,63.64,52.43
WINDER COMMUNITY,48.01,52.84,50.00,50.59
CEDAR CREEK BAPTIST,50.33,56.23,0.00,53.33
COUNTY LINE,56.66,61.49,100.0,59.13
THE CHURCH AT WINDER,50.82,55.53,71.43,53.32
88888,0.00,inf00,0.00,100.0
99999,0.00,0.00,0.00,0.00
TOTAL,52.95,56.29,55.00,54.71
