-,MALE,FEMALE,UNKNOWN
UNKNOWN,25.0,33.33,0.0
OTHER,0.0,50.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,100.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,37.07,43.61,0.0
BLACK,14.52,25.73,0.0
