,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,DIRTSELLER,0.0,50.0,0.0,0.0,0.0,66.25,46.15,64.04
1,HAYWOOD,0.0,0.0,0.0,0.0,0.0,65.19,33.33,59.01
2,LYERLY,0.0,63.41,33.33,0.0,33.33,60.03,34.29,56.83
3,TRION,37.5,34.09,24.19,40.0,8.33,53.87,23.23,49.92
4,SUMMERVILLE,50.0,52.24,33.33,50.0,32.5,55.39,29.72,52.2
5,TELOGA,0.0,0.0,100.0,0.0,0.0,64.59,35.71,62.37
6,DIRTTOWN,0.0,65.75,0.0,100.0,60.0,69.18,42.65,66.47
7,SEMINOLE,0.0,75.0,0.0,0.0,0.0,61.86,42.86,59.86
8,SUBLIGNA,50.0,0.0,0.0,0.0,0.0,74.55,34.69,69.35
9,ALPINE,100.0,55.56,100.0,0.0,0.0,66.84,34.55,64.24
10,99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,CLOUDLAND,0.0,0.0,100.0,0.0,0.0,68.68,51.35,66.36
12,PENNVILLE,0.0,23.81,35.71,0.0,0.0,49.7,24.59,45.32
13,TOTAL,38.1,52.43,30.0,40.0,24.69,58.55,30.58,54.97
