-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,28.85,33.33,0.0,0.0,37.04,27.27,35.41
30-34,0.0,42.86,0.0,50.0,0.0,39.19,23.08,38.33
35-39,66.67,32.65,100.0,0.0,0.0,53.08,35.71,50.38
40-44,50.0,51.06,50.0,0.0,0.0,60.87,33.33,58.98
45-49,100.0,63.46,40.0,0.0,66.67,64.42,47.22,63.13
50-54,50.0,67.44,66.67,0.0,60.0,65.81,24.0,64.37
55-59,50.0,58.67,0.0,100.0,0.0,69.62,26.92,66.81
60-64,100.0,68.83,0.0,66.67,100.0,73.56,29.63,70.89
65-OVER,50.0,65.38,40.0,100.0,0.0,74.46,38.6,71.89
TOTAL,57.89,56.92,36.67,50.0,35.29,62.45,32.97,60.38
