RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,3.37,11.90,0.00,7.51
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,5.38,6.43,0.00,5.98
BLACK,10.38,16.89,0.00,13.96
TOTAL,8.99,14.84,0.00,12.19
