RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,11.11,7.80,0.00,9.42
OTHER,3.33,8.57,0.00,6.15
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,8.70,0.00,6.06
WHITE,14.85,13.36,0.00,14.06
BLACK,12.77,15.90,0.00,14.53
TOTAL,13.08,13.75,0.00,13.44
