RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,5.260,16.67,0.00,9.680
OTHER,50.00,0.00,0.00,40.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,27.23,23.23,0.00,25.19
BLACK,12.82,16.67,0.00,15.05
TOTAL,24.19,21.38,0.00,22.73
