RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,7.04,6.45,0.00,6.72
OTHER,5.88,8.33,0.00,7.32
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,8.33,6.67,0.00,7.69
ASIA-PI,6.90,5.26,0.00,5.97
WHITE,19.93,15.51,0.00,17.65
BLACK,8.65,11.94,0.00,10.50
TOTAL,17.07,13.92,0.00,15.44
