RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,4.67,4.55,0.00,4.55
OTHER,8.00,11.11,0.00,9.62
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,7.41,0.00,4.26
ASIA-PI,4.17,0.00,0.00,1.54
WHITE,5.82,6.74,0.00,6.29
BLACK,2.99,10.16,0.00,7.17
TOTAL,5.14,6.84,0.00,6.04
