RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,10.53,7.89,0.00,9.21
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,22.22,23.22,0.00,22.74
BLACK,30.23,41.67,0.00,36.89
TOTAL,21.85,23.58,0.00,22.75
