RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,42.86,55.56,0.00,50.00
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,100.0,0.00,50.00
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,64.00,74.63,0.00,69.01
BLACK,53.78,62.04,0.00,58.23
TOTAL,55.07,63.16,0.00,59.36
