ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,45.00,38.50,0.00,41.55
2016 Primary,60.98,63.20,0.00,62.16
2016 Primary Runoff,33.33,33.77,0.00,33.56
2016 General,67.96,73.95,0.00,71.17
2018 Primary,26.19,31.42,0.00,28.90
2018 Primary Runoff,17.22,15.25,0.00,16.20
2018 General,66.98,67.54,100.0,67.35
