ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,10.34,18.98,8.96,0.00,12.90,26.16,20.91,23.93
2016 Primary,3.45,9.69,5.71,0.00,12.12,13.23,5.78,11.71
2016 Primary Runoff,0.00,0.58,2.86,0.00,0.00,6.20,3.04,4.85
2016 General,33.33,55.48,43.75,0.00,52.94,56.00,42.14,54.09
2018 Primary,0.00,12.74,7.06,0.00,12.12,10.52,6.99,10.27
2018 Primary Runoff,0.00,6.07,1.18,0.00,3.03,7.73,5.23,6.90
2018 General,26.09,53.52,27.84,0.00,32.35,47.69,30.71,45.78
