CONGRESSIONAL DISTRICT,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
District 1,35.57,49.46,31.22,35.61,37.41,56.99,32.55,51.4
District 2,35.14,51.17,30.72,33.41,35.09,61.18,29.23,53.39
District 3,40.58,56.77,42.73,37.43,47.01,62.39,42.89,58.51
District 4,43.3,56.6,42.64,36.55,46.63,63.93,39.42,55.84
District 5,46.23,47.09,47.44,30.32,46.57,61.86,41.69,50.62
District 6,53.8,55.78,50.88,47.53,56.77,65.75,47.91,61.07
District 7,42.14,57.62,46.03,43.7,51.16,62.38,47.06,56.09
District 8,39.87,53.16,34.08,38.76,42.94,63.11,35.2,57.78
District 9,36.72,50.79,40.3,42.54,48.23,62.9,39.45,58.73
District 10,41.93,58.17,46.27,48.51,51.97,66.08,42.49,61.19
District 11,47.7,56.04,45.81,42.96,52.3,62.33,40.33,58.29
District 12,42.72,54.47,36.78,37.59,43.21,62.45,31.15,56.01
District 13,40.09,57.71,43.55,37.56,47.95,59.45,41.86,55.71
District 14,37.55,55.33,41.21,38.76,43.34,58.02,35.61,54.79
