COUNTY NAME,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
MACON,39.55,44.06,54.62,60.7,65.95,66.28,70.95,75.53,73.81,63.89
MADISON,40.9,52.06,56.18,62.64,65.88,67.85,71.11,74.59,76.49,65.37
MARION,37.27,45.36,50.15,59.88,61.22,63.89,67.53,74.78,73.23,62.07
MERIWETHER,38.03,43.77,52.47,53.41,58.67,65.6,68.46,72.56,73.21,61.88
MILLER,32.59,39.82,45.6,52.65,59.55,63.38,71.51,66.67,68.62,58.55
MITCHELL,34.49,43.58,49.75,55.12,61.11,63.64,66.83,69.54,69.88,59.45
MONROE,41.82,54.91,59.23,68.01,69.8,72.56,74.52,77.77,78.48,69.1
MONTGOMERY,44.07,51.64,59.28,64.27,66.6,71.55,69.86,75.92,77.29,67.01
MORGAN,45.04,58.23,63.93,71.69,74.83,76.13,79.91,81.49,83.08,73.45
MURRAY,33.82,41.56,47.36,53.8,57.21,61.28,63.01,66.69,64.65,55.9
MUSCOGEE,25.86,33.46,38.68,45.87,53.07,57.86,63.29,68.41,69.34,51.41
NEWTON,36.42,45.07,53.36,58.78,64.04,66.86,68.87,71.41,72.44,60.95
OCONEE,43.21,59.48,68.05,72.13,76.13,77.38,78.7,81.94,80.64,72.86
OGLETHORPE,46.12,51.28,60.11,63.38,68.17,70.59,73.63,80.6,79.21,68.72
PAULDING,36.78,45.84,51.09,56.52,61.94,66.31,68.64,70.45,69.62,58.97
PEACH,32.82,46.68,50.91,56.31,63.87,66.1,71.09,73.7,72.62,61.2
PICKENS,34.18,42.91,47.46,54.87,60.4,66.53,66.76,72.01,73.14,61.97
PIERCE,36.74,44.65,56.4,58.6,61.66,63.77,63.81,67.23,70.78,60.65
PIKE,45.11,56.53,63.05,69.77,72.26,74.5,75.59,78.24,79.26,70.06
POLK,34.79,43.05,50.18,53.96,59.35,62.43,67.86,71.66,71.99,59.97
PULASKI,37.92,49.38,52.93,57.61,64.05,71.85,73.78,75.93,74.55,65.51
PUTNAM,37.49,43.22,54.66,59.53,65.37,68.18,72.32,77.45,79.64,67.83
QUITMAN,30.56,36.11,36.73,48.28,52.73,68.66,62.04,68.99,72.97,60.23
RABUN,35.32,41.29,46.26,54.38,61.27,63.32,68.04,71.13,76.17,64.3
RANDOLPH,43.27,47.84,55.66,59.71,65.75,66.96,73.58,77.19,79.01,67.4
RICHMOND,30.98,36.76,43.67,51.19,56.98,60.91,65.3,69.77,71.9,54.94
ROCKDALE,35.35,41.84,51.41,57.6,65.44,67.34,71.15,73.45,70.98,60.97
SCHLEY,50.48,60.63,66.06,71.98,75.19,76.92,76.5,79.67,79.56,72.36
SCREVEN,38.61,44.09,50.54,55.07,66.21,63.77,65.19,72.2,75.68,62.29
SEMINOLE,31.89,40.97,47.73,56.25,61.17,62.93,62.48,67.95,65.44,58.22
SPALDING,32.28,39.89,47.29,53.75,57.67,61.13,63.48,70.01,71.55,57.81
STEPHENS,29.52,38.3,43.27,49.87,54.81,58.05,61.87,67.77,67.65,55.74
STEWART,40.91,40.17,49.12,49.49,57.34,65.05,66.33,72.29,68.33,59.81
SUMTER,33.69,44.39,51.89,58.45,63.49,69.05,69.71,75.87,73.68,62.52
TALBOT,40.06,42.96,55.6,57.35,65.82,73.56,72.78,77.23,75.16,66.52
TALIAFERRO,51.39,63.77,60.82,70.67,72.41,81.82,85.27,83.76,82.65,76.55
TATTNALL,33.55,43.5,47.3,57.53,62.36,60.73,64.95,67.5,71.38,59.07
TAYLOR,44.72,48.66,64.37,62.6,67.57,71.36,69.83,73.01,76.34,67.05
TELFAIR,41.12,46.44,51.36,57.95,62.97,65.12,68.9,75.21,73.64,63.89
TERRELL,39.83,42.86,50.96,55.64,60.04,67.62,70.17,69.98,74,62.43
THOMAS,34.63,45.07,52.04,56.81,59.83,63.82,66.27,70.47,69.12,59.86
TIFT,34.99,45.38,51.99,55.58,63.06,64.02,68.13,73.62,71.43,60.27
TOOMBS,34.86,44.37,50.57,54.51,61.69,62.84,66.13,68.74,71.84,59.89
TOWNS,30.59,44.05,49.39,51.88,56.07,63.94,69.14,75.08,74.15,65.56
TREUTLEN,44.91,49.69,56.32,59.7,60.92,66.76,68.49,70.98,72.46,63.44
TROUP,33.48,41.97,49.68,55.88,61.17,64.44,67.87,71.85,71.81,59.28
TURNER,37.83,48.87,54.63,59.61,62.71,68.58,68.59,70.69,73.58,62.92
TWIGGS,37.96,49.55,53.85,56.67,67.71,66.67,67.96,73.1,74.17,64.08
UNION,39.11,48.02,51.21,58.63,61.5,68.65,71.19,76.74,76.14,68.74
UPSON,40.18,46.92,55.98,61.04,67.7,70.88,75.73,74.78,75.76,65.95
WALKER,27,37.59,45.64,48.53,54.87,57.54,62.26,67.07,64.09,54.12
WALTON,36.79,46.89,54.25,60.17,65.15,66.94,67.66,73.44,73.8,62.47
WARE,30.47,37.63,44.12,50.24,58.2,58.92,62.49,65.96,70.69,56.55
WARREN,40.97,43.04,55.46,56.69,68.4,64.56,71.35,72.49,73.02,64.02
WASHINGTON,42.21,51.93,60.28,64.37,72.36,72.02,74.5,78.02,75.26,67.87
WAYNE,34.91,46.25,48.88,57.6,62.03,63.64,67.94,72.84,74.9,61.41
WEBSTER,41.8,61.8,61.76,63.3,72.58,77.36,87.31,84.28,81.23,73.49
WHEELER,45.62,46.12,53.73,58.65,62.59,65.73,70.77,76.22,76.3,65.59
WHITE,34.99,40.79,50.49,57.75,58.72,64.2,66.17,69.87,73.66,62.12
WHITFIELD,32.81,40.77,48.03,52.74,58.78,61.07,65.99,70.06,70.79,57.66
WILCOX,38.71,54.32,57.88,62.57,65.72,64.15,68.77,76.17,74.45,65.2
WILKES,44.19,49.88,56.8,60.14,70.82,70.99,72.85,73.74,75.15,67.55
WILKINSON,50,55.34,61.83,64.51,70.48,75.78,75.93,79,81.06,71.5
WORTH,37.77,46.88,50,54.23,64.95,64.35,65.66,73.48,70.77,61.12
