COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
APPLING,58.22,61.83,0.0,60.14
ATKINSON,55.18,56.99,37.5,56.13
BACON,58.72,60.5,25.0,59.68
BAKER,51.83,53.97,0.0,52.98
BALDWIN,60.65,65.37,66.67,63.27
BANKS,59.88,61.19,54.55,60.53
BARROW,52.95,56.29,55.0,54.71
BARTOW,53.49,54.83,45.83,54.18
BEN HILL,55.01,58.02,80.0,56.71
BERRIEN,56.33,57.09,63.64,56.73
BIBB,52.19,60.66,28.47,56.86
BLECKLEY,65.95,67.51,57.14,66.78
BRANTLEY,53.11,53.43,0.0,53.25
BROOKS,51.32,56.52,50.0,54.09
BRYAN,52.05,52.83,40.54,52.45
BULLOCH,52.32,55.64,39.53,54.09
BURKE,53.86,59.6,25.0,56.92
BUTTS,54.02,58.79,35.0,56.5
CALHOUN,57.19,63.37,12.5,60.54
CAMDEN,47.09,46.76,50.0,46.91
CANDLER,58.99,59.98,44.44,59.51
CARROLL,52.35,55.32,40.96,53.91
CATOOSA,53.96,53.49,40.91,53.69
CHARLTON,48.83,51.45,20.0,50.2
CHATHAM,46.5,54.2,33.33,50.62
CHATTAHOOCHEE,24.44,28.22,50.0,26.4
CHATTOOGA,56.86,53.74,0.0,55.17
CHEROKEE,59.27,60.62,57.56,59.98
CLARKE,51.44,57.34,48.0,54.62
CLAY,58.82,62.78,0.0,61.08
CLAYTON,41.88,53.97,27.16,48.58
CLINCH,54.25,55.13,66.67,54.73
COBB,56.81,61.49,48.86,59.31
COFFEE,51.73,55.26,34.62,53.63
COLQUITT,53.75,55.93,35.71,54.91
COLUMBIA,57.88,59.46,40.32,58.7
COOK,56.59,58.81,100.0,57.79
COWETA,57.78,60.08,49.07,58.99
CRAWFORD,59.19,62.98,50.0,61.16
CRISP,54.67,57.98,11.11,56.51
DADE,44.55,51.0,33.33,47.69
DAWSON,59.4,60.48,47.37,59.94
DECATUR,52.91,57.36,57.14,55.41
DEKALB,52.34,61.11,18.63,57.11
DODGE,63.61,64.05,100.0,63.87
DOOLY,59.63,66.38,50.0,63.36
DOUGHERTY,42.8,52.36,12.16,47.87
DOUGLAS,52.59,58.94,41.25,56.07
EARLY,52.86,57.44,25.0,55.43
ECHOLS,53.87,56.23,100.0,55.15
EFFINGHAM,55.4,57.33,61.02,56.41
ELBERT,60.58,62.44,60.0,61.59
EMANUEL,57.53,60.21,50.0,59.02
EVANS,57.02,60.85,66.67,59.12
FANNIN,60.68,60.17,50.0,60.4
FAYETTE,63.54,66.8,56.41,65.25
FLOYD,55.2,55.53,56.76,55.38
FORSYTH,60.66,61.53,63.01,61.12
FRANKLIN,58.83,58.34,62.5,58.58
FULTON,49.78,56.73,38.47,53.41
GILMER,61.43,61.13,45.45,61.26
GLASCOCK,67.68,66.67,100.0,67.16
GLYNN,52.47,54.9,50.59,53.8
GORDON,56.14,55.5,28.57,55.8
GRADY,55.55,57.88,50.0,56.83
GREENE,67.34,70.99,50.0,69.29
GWINNETT,52.86,58.09,55.99,55.66
HABERSHAM,58.69,59.34,36.0,59.01
HALL,53.72,57.34,45.5,55.59
HANCOCK,54.87,65.61,0.0,60.6
