COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
APPLING,0.0,352.0,412.0,0.0,33.0,20.0,0.0,3.0,6.0,0.0,100.0,91.0,0.0,30.0,23.0,1.0,4367.0,3842.0,0.0,1172.0,896.0,11348.0
ATKINSON,4.0,92.0,85.0,0.0,8.0,12.0,0.0,5.0,1.0,1.0,154.0,115.0,0.0,1.0,1.0,1.0,1687.0,1451.0,2.0,506.0,381.0,4507.0
BACON,1.0,203.0,217.0,0.0,16.0,7.0,0.0,1.0,4.0,0.0,42.0,38.0,0.0,9.0,8.0,2.0,2705.0,2309.0,1.0,548.0,317.0,6428.0
BAKER,0.0,44.0,49.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,6.0,3.0,0.0,598.0,560.0,0.0,528.0,420.0,2233.0
BALDWIN,2.0,477.0,612.0,0.0,74.0,58.0,0.0,19.0,17.0,0.0,98.0,75.0,0.0,107.0,98.0,8.0,7039.0,6058.0,5.0,5950.0,4097.0,24794.0
BANKS,4.0,402.0,509.0,0.0,27.0,26.0,0.0,8.0,5.0,0.0,92.0,105.0,0.0,49.0,44.0,6.0,5042.0,4799.0,1.0,95.0,127.0,11341.0
BARROW,23.0,2519.0,2806.0,1.0,214.0,201.0,1.0,25.0,26.0,5.0,1116.0,938.0,1.0,562.0,522.0,43.0,18883.0,16828.0,6.0,3079.0,2390.0,50189.0
BARTOW,25.0,3788.0,4157.0,1.0,230.0,235.0,0.0,45.0,51.0,1.0,880.0,835.0,1.0,196.0,183.0,38.0,27158.0,24725.0,6.0,3713.0,2837.0,69105.0
BEN HILL,2.0,164.0,153.0,0.0,22.0,18.0,0.0,5.0,3.0,0.0,79.0,59.0,0.0,24.0,20.0,3.0,3116.0,2724.0,0.0,2095.0,1328.0,9815.0
BERRIEN,2.0,216.0,253.0,1.0,26.0,26.0,0.0,7.0,11.0,0.0,79.0,63.0,0.0,16.0,19.0,8.0,4820.0,4388.0,0.0,641.0,472.0,11048.0
BIBB,59.0,2886.0,3303.0,2.0,521.0,439.0,0.0,72.0,68.0,2.0,610.0,410.0,5.0,588.0,597.0,27.0,22994.0,19691.0,42.0,31750.0,22969.0,107035.0
BLECKLEY,2.0,150.0,149.0,1.0,15.0,13.0,0.0,3.0,3.0,0.0,27.0,18.0,0.0,23.0,25.0,4.0,2789.0,2598.0,0.0,884.0,586.0,7290.0
BRANTLEY,2.0,256.0,332.0,0.0,27.0,15.0,0.0,4.0,6.0,0.0,30.0,24.0,0.0,9.0,6.0,3.0,5065.0,4595.0,0.0,168.0,125.0,10667.0
BROOKS,0.0,285.0,319.0,0.0,26.0,28.0,0.0,8.0,5.0,0.0,82.0,64.0,0.0,22.0,11.0,2.0,3087.0,2867.0,0.0,2145.0,1665.0,10616.0
BRYAN,15.0,1557.0,1628.0,1.0,164.0,131.0,0.0,30.0,36.0,1.0,459.0,353.0,1.0,211.0,180.0,15.0,10682.0,9498.0,4.0,2066.0,1601.0,28633.0
BULLOCH,17.0,2288.0,2545.0,0.0,195.0,158.0,0.0,16.0,15.0,1.0,261.0,250.0,0.0,146.0,147.0,17.0,14321.0,12793.0,8.0,6343.0,4359.0,43880.0
BURKE,2.0,525.0,696.0,0.0,42.0,33.0,0.0,9.0,12.0,1.0,50.0,58.0,0.0,25.0,19.0,7.0,3595.0,3380.0,6.0,4024.0,2867.0,15351.0
BUTTS,6.0,662.0,721.0,1.0,50.0,61.0,0.0,7.0,10.0,0.0,78.0,71.0,0.0,30.0,18.0,9.0,5594.0,5142.0,4.0,1959.0,1554.0,15977.0
CALHOUN,5.0,59.0,63.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,11.0,6.0,1.0,626.0,541.0,2.0,1062.0,763.0,3160.0
CAMDEN,10.0,3837.0,3715.0,0.0,250.0,170.0,0.0,31.0,32.0,0.0,417.0,314.0,1.0,213.0,123.0,8.0,11552.0,10080.0,1.0,3285.0,2382.0,36421.0
CANDLER,3.0,284.0,339.0,0.0,13.0,11.0,0.0,1.0,3.0,0.0,83.0,47.0,0.0,12.0,10.0,6.0,2103.0,1799.0,0.0,720.0,510.0,5944.0
CARROLL,23.0,3733.0,3799.0,4.0,388.0,299.0,1.0,57.0,44.0,1.0,734.0,651.0,0.0,229.0,199.0,40.0,28589.0,25873.0,14.0,7463.0,5688.0,77829.0
CATOOSA,21.0,3080.0,3158.0,0.0,113.0,121.0,0.0,23.0,22.0,1.0,214.0,153.0,0.0,134.0,119.0,42.0,19721.0,16643.0,2.0,440.0,390.0,44397.0
CHARLTON,0.0,411.0,505.0,1.0,29.0,12.0,0.0,4.0,5.0,0.0,12.0,12.0,0.0,13.0,20.0,4.0,2364.0,2058.0,0.0,753.0,554.0,6757.0
CHATHAM,187.0,8301.0,8473.0,8.0,1477.0,1211.0,1.0,174.0,207.0,8.0,2576.0,2145.0,6.0,1503.0,1314.0,98.0,53752.0,47799.0,61.0,42676.0,33053.0,205030.0
CHATTAHOOCHEE,1.0,224.0,310.0,0.0,33.0,35.0,0.0,5.0,0.0,0.0,108.0,101.0,0.0,39.0,33.0,0.0,1131.0,1035.0,1.0,547.0,446.0,4049.0
CHATTOOGA,1.0,613.0,652.0,0.0,52.0,30.0,0.0,7.0,8.0,0.0,51.0,64.0,0.0,24.0,18.0,2.0,5976.0,5065.0,0.0,544.0,427.0,13534.0
CHEROKEE,73.0,8962.0,9465.0,4.0,1004.0,900.0,0.0,105.0,98.0,9.0,3261.0,2679.0,2.0,1128.0,884.0,74.0,73091.0,66099.0,10.0,5555.0,4361.0,177764.0
CLARKE,88.0,4834.0,5024.0,2.0,580.0,429.0,0.0,35.0,36.0,11.0,1332.0,1093.0,6.0,867.0,700.0,79.0,23685.0,20915.0,14.0,11773.0,8105.0,79608.0
CLAY,0.0,33.0,40.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,417.0,365.0,0.0,651.0,421.0,1940.0
CLAYTON,259.0,9819.0,9273.0,13.0,1894.0,1445.0,1.0,148.0,138.0,19.0,3562.0,3059.0,27.0,2323.0,2456.0,15.0,11066.0,9380.0,152.0,77068.0,57754.0,189871.0
CLINCH,2.0,109.0,130.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,15.0,10.0,0.0,6.0,3.0,1.0,1438.0,1269.0,0.0,648.0,490.0,4133.0
COBB,317.0,16150.0,16002.0,30.0,5910.0,4513.0,1.0,500.0,489.0,32.0,13929.0,11666.0,28.0,8293.0,7468.0,201.0,156016.0,143569.0,136.0,81683.0,59872.0,526805.0
COFFEE,11.0,495.0,533.0,0.0,55.0,60.0,0.0,16.0,16.0,0.0,349.0,342.0,0.0,65.0,63.0,10.0,8205.0,7071.0,5.0,3691.0,2627.0,23614.0
COLQUITT,18.0,711.0,733.0,0.0,79.0,50.0,0.0,13.0,13.0,0.0,494.0,431.0,0.0,50.0,50.0,7.0,8360.0,7290.0,3.0,3114.0,2260.0,23676.0
COLUMBIA,45.0,4886.0,4981.0,1.0,870.0,678.0,0.0,108.0,95.0,2.0,1603.0,1306.0,7.0,1644.0,1305.0,48.0,37493.0,33589.0,21.0,9224.0,7269.0,105175.0
COOK,0.0,141.0,182.0,0.0,29.0,28.0,0.0,2.0,4.0,0.0,81.0,69.0,0.0,24.0,25.0,1.0,3544.0,3247.0,0.0,1586.0,1103.0,10066.0
COWETA,58.0,5880.0,6020.0,4.0,418.0,363.0,0.0,26.0,39.0,6.0,1279.0,969.0,1.0,576.0,424.0,72.0,35724.0,32317.0,20.0,8531.0,5931.0,98658.0
CRAWFORD,4.0,201.0,288.0,0.0,23.0,18.0,0.0,2.0,8.0,0.0,34.0,24.0,0.0,13.0,12.0,0.0,3048.0,2805.0,2.0,904.0,714.0,8100.0
CRISP,4.0,206.0,237.0,0.0,23.0,24.0,0.0,2.0,5.0,0.0,47.0,33.0,0.0,38.0,39.0,1.0,3656.0,3093.0,4.0,3118.0,1996.0,12526.0
DADE,1.0,633.0,742.0,2.0,18.0,17.0,0.0,5.0,13.0,1.0,35.0,34.0,0.0,22.0,21.0,8.0,4865.0,5008.0,0.0,28.0,32.0,11485.0
DAWSON,13.0,837.0,932.0,0.0,35.0,48.0,0.0,9.0,21.0,0.0,132.0,116.0,0.0,56.0,41.0,6.0,8855.0,8176.0,0.0,30.0,58.0,19365.0
DECATUR,11.0,305.0,404.0,0.0,42.0,35.0,0.0,9.0,5.0,0.0,122.0,98.0,0.0,33.0,21.0,7.0,5036.0,4255.0,3.0,3742.0,2410.0,16538.0
DEKALB,201.0,24822.0,25335.0,13.0,6162.0,4804.0,0.0,376.0,392.0,8.0,6711.0,5704.0,5.0,7835.0,6932.0,26.0,91855.0,81803.0,53.0,161377.0,123798.0,548212.0
DODGE,0.0,217.0,244.0,0.0,17.0,14.0,0.0,1.0,2.0,0.0,31.0,30.0,0.0,19.0,13.0,4.0,4042.0,3617.0,1.0,1690.0,1125.0,11067.0
DOOLY,1.0,98.0,109.0,0.0,8.0,11.0,0.0,4.0,0.0,0.0,50.0,40.0,0.0,12.0,15.0,0.0,1463.0,1323.0,1.0,1690.0,1187.0,6012.0
DOUGHERTY,142.0,2211.0,2542.0,8.0,220.0,179.0,0.0,29.0,25.0,4.0,244.0,212.0,1.0,140.0,139.0,30.0,9222.0,7880.0,407.0,24421.0,17224.0,65280.0
