COUNTY NAME,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
APPLING,1302.0,953.0,776.0,843.0,866.0,920.0,953.0,1023.0,1038.0,2674.0,11348.0
ATKINSON,567.0,424.0,344.0,331.0,331.0,345.0,394.0,402.0,368.0,1001.0,4507.0
BACON,700.0,509.0,472.0,497.0,582.0,567.0,528.0,530.0,578.0,1465.0,6428.0
BAKER,213.0,171.0,152.0,165.0,148.0,164.0,199.0,224.0,206.0,591.0,2233.0
BALDWIN,2839.0,2245.0,1996.0,1884.0,1691.0,1860.0,2029.0,2294.0,2208.0,5748.0,24794.0
BANKS,1258.0,924.0,832.0,867.0,926.0,1045.0,1075.0,1012.0,949.0,2453.0,11341.0
BARROW,5896.0,5002.0,4807.0,4828.0,4269.0,4553.0,4308.0,4238.0,3675.0,8613.0,50189.0
BARTOW,8087.0,6656.0,5882.0,5656.0,5488.0,6367.0,6485.0,6395.0,5589.0,12500.0,69105.0
BEN HILL,1085.0,843.0,763.0,780.0,676.0,762.0,756.0,865.0,912.0,2373.0,9815.0
BERRIEN,1137.0,985.0,860.0,857.0,844.0,990.0,913.0,1035.0,905.0,2522.0,11048.0
BIBB,13482.0,11052.0,9702.0,8646.0,7822.0,8220.0,8288.0,9132.0,8704.0,21987.0,107035.0
BLECKLEY,820.0,606.0,550.0,543.0,532.0,590.0,634.0,684.0,597.0,1734.0,7290.0
BRANTLEY,1162.0,936.0,797.0,791.0,845.0,1001.0,987.0,987.0,881.0,2280.0,10667.0
BROOKS,1014.0,905.0,865.0,774.0,702.0,834.0,872.0,1011.0,964.0,2675.0,10616.0
BRYAN,3280.0,2419.0,2708.0,2939.0,2923.0,3024.0,2584.0,2497.0,2045.0,4214.0,28633.0
BULLOCH,7500.0,5216.0,4161.0,3567.0,3136.0,3341.0,3103.0,3264.0,3016.0,7576.0,43880.0
BURKE,1656.0,1389.0,1204.0,1253.0,1131.0,1296.0,1311.0,1519.0,1414.0,3178.0,15351.0
