,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,RACE,MALE,FEMALE,UNKNOWN,TOTAL
0,0,00000,00000,00000,00000,UNKNOWN,36.67,43.48,0.00,40.03
1,1,10000,10000,10000,10000,OTHER,44.96,50.29,43.85,47.90
2,2,20000,20000,20000,20000,NATIVE-AM,37.64,40.62,41.38,39.16
3,3,30000,30000,30000,30000,HISP-LT,39.21,46.44,45.41,43.13
4,4,40000,40000,40000,40000,ASIA-PI,43.19,45.46,45.13,44.38
5,5,50000,50000,50000,50000,WHITE,62.19,62.15,52.59,62.16
6,6,60000,60000,60000,60000,BLACK,46.74,59.18,33.13,53.83
7,7,70000,70000,70000,70000,TOTAL,53.81,58.53,43.48,56.33
