COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
RABUN,36.11,45.61,43.33,38.46,52.38,66.07,46.59,64.3
RANDOLPH,50.0,63.69,37.5,50.0,55.56,74.19,42.59,67.4
RICHMOND,38.81,59.06,38.15,39.68,45.32,57.62,33.54,54.94
ROCKDALE,44.56,64.51,39.93,39.44,49.81,62.45,47.25,60.97
SCHLEY,33.33,63.22,48.0,0.0,66.67,75.96,51.02,72.36
SCREVEN,41.67,56.17,42.86,50.0,65.0,70.21,27.04,62.29
SEMINOLE,12.5,52.16,39.47,0.0,36.84,62.75,34.66,58.22
SPALDING,46.51,54.05,37.95,34.21,49.08,62.46,37.05,57.81
STEPHENS,44.44,46.22,40.66,50.0,37.93,58.89,30.28,55.74
STEWART,25.0,57.13,28.57,0.0,25.0,65.59,49.4,59.81
SUMTER,43.82,56.4,28.39,50.0,51.35,71.11,38.96,62.52
TALBOT,57.14,66.11,47.06,75.0,55.56,68.53,53.06,66.52
TALIAFERRO,100.0,76.9,28.57,0.0,50.0,78.52,59.52,76.55
TATTNALL,54.29,53.1,29.22,62.5,36.36,65.98,24.79,59.07
TAYLOR,45.45,61.39,54.55,50.0,20.0,72.93,45.38,67.05
TELFAIR,38.89,57.65,36.0,80.0,53.85,68.82,37.78,63.89
TERRELL,25.0,56.87,52.38,60.0,50.0,74.34,33.92,62.43
THOMAS,44.19,54.99,29.32,40.0,45.83,64.8,42.48,59.86
TIFT,39.07,48.04,33.61,25.0,46.23,67.56,41.87,60.27
TOOMBS,39.06,50.22,25.1,0.0,40.66,68.58,23.4,59.89
TOWNS,37.5,26.47,48.94,37.5,59.09,66.36,57.04,65.56
TREUTLEN,25.0,59.53,14.29,33.33,20.0,66.73,40.18,63.44
TROUP,31.46,55.13,42.52,33.33,41.55,63.8,40.18,59.28
TURNER,11.76,55.27,42.86,25.0,53.33,69.5,42.25,62.92
TWIGGS,53.85,65.82,31.43,25.0,42.31,65.73,41.64,64.08
UNION,56.86,34.48,53.0,60.0,56.0,69.43,62.55,68.74
UPSON,34.62,64.56,33.33,16.67,55.56,68.76,45.37,65.95
WALKER,44.44,48.05,43.23,60.0,44.74,56.49,39.87,54.12
WALTON,36.62,56.66,44.01,44.23,52.71,67.64,46.36,62.47
WARE,45.45,47.99,35.16,42.11,34.52,63.38,23.41,56.55
WARREN,55.56,58.41,50.0,50.0,31.25,76.05,27.41,64.02
WASHINGTON,23.81,63.38,53.12,50.0,57.89,75.26,34.94,67.87
WAYNE,32.76,52.4,27.67,36.36,36.0,66.7,36.86,61.41
WEBSTER,0.0,64.15,71.43,0.0,44.44,81.89,53.57,73.49
WHEELER,0.0,63.57,41.18,0.0,28.57,68.28,33.33,65.59
WHITE,44.0,50.0,40.94,50.0,56.0,64.32,37.12,62.12
WHITFIELD,41.59,54.66,41.84,42.11,47.56,62.79,39.73,57.66
WILCOX,20.0,55.25,22.22,0.0,33.33,70.71,42.03,65.2
WILKES,37.5,61.97,46.67,42.86,62.5,74.12,36.23,67.55
WILKINSON,20.0,71.02,25.0,0.0,52.94,74.15,37.85,71.5
WORTH,48.0,52.16,44.26,100.0,48.21,66.51,28.15,61.12
