CONGRESSIONAL DISTRICT,MALE,FEMALE,UNKNOWN,TOTAL
District 1,49.29,53.22,38.64,51.4
District 2,49.72,56.46,20.79,53.39
District 3,56.79,60.02,49.38,58.51
District 4,50.55,60.13,45.72,55.84
District 5,45.81,55.01,31.78,50.62
District 6,59.73,62.31,51.51,61.07
District 7,53.99,57.95,56.08,56.09
District 8,56.18,59.17,37.27,57.78
District 9,58.01,59.4,51.88,58.73
District 10,59.06,63.07,55.15,61.19
District 11,56.75,59.67,51.35,58.29
District 12,53.9,57.95,24.78,56.01
District 13,50.68,59.75,35.92,55.71
District 14,54.31,55.23,46.83,54.79
