RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,1.63,1.11,0.00,1.34
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,2.44,0.00,1.33
WHITE,1.96,1.95,0.00,1.95
BLACK,7.42,10.41,0.00,9.16
TOTAL,2.53,3.02,0.00,2.80
