RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,2.780,0.00,0.00,1.640
OTHER,0.00,33.33,0.00,16.67
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,4.760,5.260,0.00,5.030
BLACK,1.200,0.00,0.00,0.500
TOTAL,4.120,4.300,0.00,4.210
