RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,5.660,6.600,0.00,6.130
OTHER,10.00,0.00,0.00,5.560
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,50.00,0.00,33.33
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,0.00,14.29,0.00,5.000
BLACK,5.290,8.900,0.00,7.350
TOTAL,5.210,8.740,0.00,7.180
