ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,42.02,46.85,100.0,44.56
2016 Primary,23.99,24.15,0.00,24.06
2016 Primary Runoff,9.94,10.73,0.00,10.35
2016 General,68.07,74.34,100.0,71.36
2018 Primary,24.93,27.70,0.00,26.37
2018 Primary Runoff,15.85,15.95,0.00,15.89
2018 General,63.96,68.63,100.0,66.43
