ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,38.31,33.71,0.00,35.94
2016 Primary,20.70,18.10,0.00,19.36
2016 Primary Runoff,14.43,13.28,0.00,13.84
2016 General,61.24,63.39,0.00,62.36
2018 Primary,15.14,10.55,0.00,12.72
2018 Primary Runoff,11.93,7.96,0.00,9.84
2018 General,59.29,55.04,0.00,57.09
