ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,0.00,28.86,50.00,0.00,20.00,48.98,21.54,44.54
2016 Primary,0.00,18.70,0.00,0.00,0.00,36.08,6.25,31.81
2016 Primary Runoff,0.00,0.81,10.00,0.00,0.00,31.23,4.69,25.19
2016 General,40.00,66.53,60.00,100.0,40.00,72.13,56.76,70.36
2018 Primary,0.00,19.05,0.00,0.00,0.00,26.42,4.44,23.67
2018 Primary Runoff,0.00,2.56,0.00,0.00,0.00,21.27,5.62,17.04
2018 General,80.00,62.41,40.00,0.00,20.00,67.49,51.06,65.39
