ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,42.09,38.21,0.00,40.03
2016 Primary,45.91,47.09,100.0,46.60
2016 Primary Runoff,0.27,0.23,0.00,0.25
2016 General,68.88,75.00,0.00,72.04
2018 Primary,22.44,24.94,0.00,23.71
2018 Primary Runoff,17.94,17.73,0.00,17.81
2018 General,63.83,67.63,0.00,65.71
